國民中學校別資料																							
103 學年度 SY2014-2015																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
01	新北市	014579	市立佳林國中	35	10	12	13	988	519	469	149	127	177	162	193	180	288	132	156	21	53	2	3
01	新北市	014580	市立達觀國中(小)	33	11	11	11	"1,094"	554	540	167	177	189	176	198	187	271	131	140	16	56	-	4
02	宜蘭縣	024501	縣立宜蘭國中	26	7	9	10	679	341	338	100	91	120	105	121	142	221	103	118	21	40	2	7
02	宜蘭縣	024502	縣立中華國中	38	12	13	13	"1,053"	556	497	155	159	215	162	186	176	379	191	188	28	55	2	8
02	宜蘭縣	024503	縣立復興國中	70	20	25	25	"1,887"	975	912	299	252	322	325	354	335	684	365	319	51	105	4	10
02	宜蘭縣	024504	縣立羅東國中	63	19	22	22	"1,733"	913	820	285	232	292	302	336	286	620	323	297	48	95	1	12
02	宜蘭縣	024505	縣立東光國中	36	10	13	13	993	478	515	107	148	184	169	187	198	331	180	151	32	51	4	6
02	宜蘭縣	024506	縣立國華國中	51	16	17	18	"1,456"	762	694	224	214	238	250	300	230	518	258	260	41	73	2	11
02	宜蘭縣	024507	縣立頭城國中	33	10	12	11	873	440	433	131	126	150	159	159	148	271	133	138	34	36	3	6
02	宜蘭縣	024508	縣立蘇澳國中	17	5	6	6	379	188	191	57	70	74	65	57	56	142	74	68	22	16	5	3
02	宜蘭縣	024509	縣立文化國中	22	7	7	8	596	305	291	97	99	106	85	102	107	212	115	97	23	30	2	6
02	宜蘭縣	024510	縣立南安國中	8	2	3	3	156	78	78	20	19	24	27	34	32	62	34	28	9	11	3	2
02	宜蘭縣	024511	縣立三星國中	20	7	7	6	476	248	228	73	76	84	82	91	70	147	87	60	20	28	4	4
02	宜蘭縣	024512	縣立礁溪國中	25	8	8	9	660	359	301	91	89	126	102	142	110	224	96	128	16	41	2	7
02	宜蘭縣	024513	縣立吳沙國中	9	3	3	3	232	119	113	37	39	43	36	39	38	95	44	51	13	11	2	5
02	宜蘭縣	024514	縣立冬山國中	18	6	6	6	495	283	212	84	71	101	70	98	71	169	89	80	13	28	1	6
02	宜蘭縣	024515	縣立順安國中	12	4	4	4	298	146	152	44	46	53	47	49	59	101	59	42	12	16	1	6
02	宜蘭縣	024516	縣立五結國中	17	5	6	6	422	211	211	57	54	81	74	73	83	138	65	73	17	25	3	5
02	宜蘭縣	024517	縣立興中國中	9	3	3	3	172	101	71	29	25	36	21	36	25	58	34	24	9	14	1	4
02	宜蘭縣	024518	縣立利澤國中	11	3	4	4	260	140	120	37	34	48	44	55	42	81	42	39	14	13	2	5
02	宜蘭縣	024519	縣立員山國中	19	7	6	6	458	218	240	73	74	74	79	71	87	143	70	73	16	27	1	7
02	宜蘭縣	024520	縣立內城國中(小)	6	2	2	2	82	42	40	16	13	13	9	13	18	35	16	19	7	9	1	6
02	宜蘭縣	024521	縣立壯圍國中	25	7	9	9	647	340	307	98	96	121	103	121	108	227	122	105	17	39	3	6
02	宜蘭縣	024523	縣立大同國中	3	1	1	1	84	50	34	14	11	15	11	21	12	23	13	10	7	5	1	2
02	宜蘭縣	024524	縣立凱旋國中	18	6	6	6	513	270	243	76	81	93	82	101	80	175	100	75	12	29	1	7
02	宜蘭縣	024525	縣立慈心華德福實驗國中(小)	6	2	2	2	168	84	84	24	34	30	24	30	26	52	27	25	5	10	6	7
02	宜蘭縣	024526	縣立人文國中(小)	6	2	2	2	99	52	47	16	11	17	16	19	20	28	16	12	7	4	4	7
03	桃園縣	031502	私立有得國中(小)	6	2	2	2	157	98	59	35	23	37	18	26	18	-	-	-	13	4	3	7
03	桃園縣	034501	縣立桃園國中	86	23	30	33	"2,493"	"1,302"	"1,191"	345	325	447	413	510	453	945	496	449	50	144	3	14
03	桃園縣	034502	縣立青溪國中	59	18	21	20	"1,725"	906	819	265	244	317	297	324	278	543	283	260	40	89	2	11
03	桃園縣	034503	縣立文昌國中	47	15	16	16	"1,335"	696	639	229	196	224	255	243	188	380	180	200	31	84	3	9
03	桃園縣	034504	縣立建國國中	75	25	25	25	"2,430"	"1,310"	"1,120"	397	350	434	397	479	373	849	441	408	55	113	3	12
03	桃園縣	034505	縣立中興國中	90	28	31	31	"2,696"	"1,324"	"1,372"	400	418	454	462	470	492	852	418	434	59	141	1	15
